N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000000357	C0002066	M0000717	D000474	Alkaptonuria
N0000002515	C0033785	M0017941	D011542	Pseudarthrosis
N0000002283	C0030271	M0015789	D010178	Pancoast Syndrome
N0000181077	C0242528	M0022320	D053099	Azotemia
N0000000973	C0012242	M0006374	D004066	Digestive System Diseases
N0000004253	C0887976	M0363732	D023521	Chlamydophila Infections
N0000002926	C0039980	M0021396	D013898	Thoracic Injuries
N0000003340	C0040416	M0024264	D015845	Tonic Pupil
N0000003647	C0206369	M0027033	D017890	Splenosis
N0000001991	C0025312	M0013375	D008591	Meningomyelocele
N0000003715	C0684337	M0027470	D018241	Neuroectodermal Tumors, Primitive, Peripheral
N0000002988	C0040553	M0021726	D014120	Toxocariasis
N0000000806	C0009319	M0004770	D003092	Colitis
N0000002349	C0030848	M0016159	D010411	Penile Induration
N0000002276	C0030185	M0015740	D010144	Paget's Disease, Mammary
N0000001487	C0019096	M0010168	D006478	Hemorrhagic Fever, American
N0000002233	C0029185	M0015380	D009918	Orbital Neoplasms
N0000003733	C0206684	M0027494	D018266	Adenocarcinoma, Sebaceous
N0000003632	C0206180	M0026793	D017728	Lymphoma, Large-Cell, Anaplastic
N0000003853	C0242994	M0028114	D018778	Hantavirus Infections
N0000001278	C0016537	M0008734	D005543	Forearm Injuries
N0000002993	C0040580	M0021744	D014133	Tracheal Diseases
N0000000684	C0007177	M0003456	D002305	Cardiac Tamponade
N0000183392	C0239138	M0555789	D060905	Coxa Vara
N0000002523	C0033839	M0017964	D011557	Pseudorabies
N0000189378	C2362324	M0578215	D063766	Pediatric Obesity
N0000003484	C0085315	M0025573	D016781	Toxoplasmosis, Cerebral
N0000171661	C0004153	M0001903	D050197	Atherosclerosis
N0000001775	C0022906	M0012137	D007767	Lacrimal Duct Obstruction
N0000003350	C0026205	M0024306	D015877	Miosis
N0000001587	C0020457	M0010825	D006944	Hyperglycemic Hyperosmolar Nonketotic Coma
N0000002712	C0036508	M0019584	D012628	Dermatitis, Seborrheic
N0000000751	C0008066	M0004052	D002653	Child Behavior Disorders
N0000171657	C0007873	M0003944	D002583	Uterine Cervical Neoplasms
N0000001946	C0024862	M0013073	D008398	Masochism
N0000003517	C0085543	M0025882	D017036	Epilepsia Partialis Continua
N0000000741	C0007947	M0003985	D002602	Chancroid
N0000003749	C0206702	M0027516	D018285	Klatskin's Tumor
N0000000283	C0001122	M0000213	D000138	Acidosis
N0000181114	C0272236	M0492421	D053306	Hyper-IgM Immunodeficiency Syndrome
N0000002182	C0027947	M0014782	D009503	Neutropenia
N0000003452	C0085215	M0025370	D016649	Primary Ovarian Insufficiency
N0000181108	C0270327	M0007498	D053206	Nocturnal Enuresis
N0000004079	C0600518	M0029921	D020256	Choroidal Neovascularization
N0000001565	C1720771	M0010698	D006848	Testicular Hydrocele
N0000003141	C0042963	M0022844	D014839	Vomiting
N0000181012	C0003165	M0507661	D055008	Anthracosis
N0000001413	C0018572	M0009785	D006232	Hand, Foot and Mouth Disease
N0000003358	C0017495	M0024593	D016098	Gerstmann-Straussler-Scheinker Disease
N0000002646	C0035613	M0019114	D012295	Rift Valley Fever
N0000181267	C1961102	M0502706	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
N0000002145	C0027672	M0014613	D009386	Neoplastic Syndromes, Hereditary
N0000001818	C0023429	M0012385	D007941	Leukemia P388
N0000001780	C0023048	M0012221	D007815	Larva Migrans
N0000003500	C0085409	M0025689	D016884	Polyendocrinopathies, Autoimmune
N0000182165	C0152459	M0539673	D057896	Striae Distensae
N0000183404	C0276721	M0553998	D060446	Phaeohyphomycosis
N0000000353	C0001973	M0000661	D000437	Alcoholism
N0000002449	C0032371	M0017112	D011051	Poliomyelitis
N0000000704	C0007570	M0003736	D002446	Celiac Disease
N0000003695	C0206646	M0027450	D018221	Fibromatosis, Abdominal
N0000011012	C0877149	M0455459	D046788	Patellofemoral Pain Syndrome
N0000000625	C0006287	M0002980	D001997	Bronchopulmonary Dysplasia
N0000003626	C0030794	M0026763	D017699	Pelvic Pain
N0000181245	C1739395	M0506064	D054549	Takotsubo Cardiomyopathy
N0000001243	C0015970	M0008422	D005335	Fever of Unknown Origin
N0000003873	C0234471	M0028245	D018886	Aphasia, Conduction
N0000002972	C0040434	M0021673	D014075	Tooth Discoloration
N0000003119	C0042512	M0022598	D014694	Ventricular Outflow Obstruction
N0000001086	C0014072	M0007370	D004681	Encephalomyelitis, Autoimmune, Experimental
N0000003774	C0206723	M0027545	D018310	Sertoli-Leydig Cell Tumor
N0000002936	C0040053	M0021435	D013927	Thrombosis
N0000001666	C0020981	M0011089	D007119	Immunoblastic Lymphadenopathy
N0000003095	C0042140	M0022433	D014596	Uterine Prolapse
N0000003648	C0206504	M0027248	D018058	Tympanic Membrane Perforation
N0000001038	C0013456	M0006949	D004433	Earache
N0000003269	C0023439	M0023829	D015472	Leukemia, Eosinophilic, Acute
N0000171650	C1691228	M0483545	D052177	Kidney Diseases, Cystic
N0000004021	C0520679	M0328295	D020181	Sleep Apnea, Obstructive
N0000001018	C1527298	M0006916	D004405	Dysentery, Bacillary
N0000002210	C0028880	M0015224	D009808	Odontogenic Tumors
N0000001654	C0020676	M0010948	D007037	Hypothyroidism
N0000002694	C0036349	M0019494	D012563	Schizophrenia, Paranoid
N0000001259	C0016196	M0008534	D005409	Flail Chest
N0000002628	C0035412	M0019001	D012208	Rhabdomyosarcoma
N0000004136	C0494491	M0328145	D020422	Mononeuropathies
N0000003179	C0043352	M0023067	D014987	Xerostomia
N0000004193	C0276226	M0328381	D020803	Encephalitis, Herpes Simplex
N0000001546	C0019655	M0010434	D006660	Histoplasmosis
N0000002633	C0035450	M0019017	D012218	Rheumatoid Nodule
N0000001867	C0023896	M0012646	D008108	Liver Diseases, Alcoholic
N0000001281	C0016549	M0008743	D005549	Foreign-Body Reaction
N0000001263	C0016382	M0008649	D005483	Flushing
N0000181254	C1868720	M0501539	D054091	Periventricular Nodular Heterotopia
N0000001425	C0018781	M0009932	D006317	Hearing Loss, Noise-Induced
N0000002155	C0027726	M0014639	D009404	Nephrotic Syndrome
N0000004176	C0752130	M0328309	D020760	Spinal Cord Ischemia
N0000002719	C0036830	M0019699	D012713	Serum Sickness
N0000001064	C0013902	M0007240	D004612	Elliptocytosis, Hereditary
N0000002542	C0034067	M0018129	D011656	Pulmonary Emphysema
N0000003065	C0041915	M0022300	D014496	Urachal Cyst
N0000000691	C0007274	M0003543	D002341	Carotid Artery Thrombosis
N0000001727	C0022408	M0011860	D007592	Joint Diseases
N0000002340	C0030764	M0016094	D010378	Pedophilia
N0000181162	C0574083	M0529363	D056889	Barth Syndrome
N0000002767	C0037285	M0019938	D012877	Skin Manifestations
N0000002547	C0034088	M0018142	D011665	Pulmonary Valve Insufficiency
N0000000280	C0001075	M0000200	D000126	Achlorhydria
N0000001338	C0017567	M0009239	D005886	Gingival Hypertrophy
N0000003907	C0013415	M0028689	D019263	Dysthymic Disorder
N0000001882	C0024118	M0012748	D008174	Lung Diseases, Parasitic
N0000002669	C0036161	M0019413	D012497	Sandhoff Disease
N0000003131	C0042842	M0022791	D014802	Vitamin A Deficiency
N0000001687	C0021368	M0011307	D007249	Inflammation
N0000003678	C0206765	M0027433	D018204	Neoplasms, Connective and Soft Tissue
N0000000688	C0007196	M0003468	D002313	Cardiomyopathy, Restrictive
N0000003886	C0282606	M0028431	D019042	Muscle Neoplasms
N0000001156	C0014849	M0007742	D004932	Esophageal and Gastric Varices
N0000002330	C0030578	M0015972	D010304	Paronychia
N0000002178	C0027877	M0014734	D009472	Neuronal Ceroid-Lipofuscinoses
N0000181024	C0020438	M0494710	D053565	Hypercalciuria
N0000003447	C0040137	M0025323	D016606	Thyroid Nodule
N0000181057	C0158328	M0487904	D052582	Trigger Finger Disorder
N0000004169	C0752109	M0328165	D020739	Brain Diseases, Metabolic, Inborn
N0000171643	C0403447	M0480472	D051436	Renal Insufficiency, Chronic
N0000002559	C0034186	M0018195	D011704	Pyelonephritis
N0000002566	C0034372	M0018313	D011782	Quadriplegia
N0000002162	C0027796	M0014687	D009437	Neuralgia
N0000001516	C0019270	M0010259	D006547	Hernia
N0000001823	C0023462	M0012391	D007947	Leukemia, Megakaryoblastic, Acute
N0000000940	C0011606	M0006047	D003873	Dermatitis, Exfoliative
N0000002590	C0035021	M0018746	D012061	Relapsing Fever
N0000000967	C0012102	M0006296	D004011	Dicrocoeliasis
N0000003312	C0022584	M0024171	D015776	Keratoderma, Palmoplantar, Diffuse
N0000004124	C0393534	M0328227	D020362	Paraneoplastic Cerebellar Degeneration
N0000002423	C0032231	M0017045	D010998	Pleurisy
N0000182179	C0265529	M0546054	D059041	Plagiocephaly
N0000181022	C0016522	M0009965	D054092	Foramen Ovale, Patent
N0000010996	C0158322	M0411531	D036982	Heel Spur
N0000003106	C0042258	M0022485	D014625	Vaginal Neoplasms
N0000002505	C0033680	M0017886	D011504	Protein-Losing Enteropathies
N0000001723	C0022367	M0011836	D007576	Jaw, Edentulous, Partially
N0000001469	C0018995	M0010098	D006432	Hemochromatosis
N0000002189	C0028271	M0014943	D009625	Noma
N0000000320	C0001576	M0000457	D000291	Adnexal Diseases
N0000011103	C0749794	M0414113	D038062	Upper Extremity Deformities, Congenital
N0000002159	C0027765	M0014667	D009422	Nervous System Diseases
N0000002824	C0038325	M0020533	D013262	Stevens-Johnson Syndrome
N0000002558	C0034183	M0018193	D011702	Pyelitis
N0000001799	C0023240	M0012292	D007876	Legionellosis
N0000002359	C0031036	M0016293	D010488	Polyarteritis Nodosa
N0000000961	C0011981	M0006210	D003965	Diaphragmatic Eventration
N0000003739	C0206692	M0027506	D018275	Carcinoma, Lobular
N0000001635	C0020615	M0010901	D007003	Hypoglycemia
N0000003940	C0524802	M0029064	D019574	Optic Nerve Neoplasms
N0000001792	C0023186	M0012273	D007859	Learning Disorders
N0000002882	C0039130	M0020971	D013589	Syphilis, Cardiovascular
N0000171681	C0677607	M0472027	D050031	Hashimoto Disease
N0000001067	C0013922	M0007248	D004617	Embolism
N0000003472	C0162510	M0025558	D016767	Caroli Disease
N0000002833	C0038363	M0020551	D013281	Stomatitis, Aphthous
N0000000957	C0011881	M0006160	D003928	Diabetic Nephropathies
N0000004066	C0338591	M0328097	D020236	Amnesia, Transient Global
N0000001057	C0013604	M0007051	D004487	Edema
N0000182210	C0919727	M0545459	D058926	Intraoperative Awareness
N0000181098	C0268255	M0518626	D055577	Farber Lipogranulomatosis
N0000002804	C0037997	M0020368	D013158	Splenic Diseases
N0000181172	C0748164	M0518867	D055613	Multiple Pulmonary Nodules
N0000002490	C0033074	M0017555	D011304	Presbycusis
N0000004218	C0458219	M0328368	D020918	Complex Regional Pain Syndromes
N0000002014	C0026069	M0013858	D008878	Middle Lobe Syndrome
N0000000905	C0011085	M0005712	D003649	Decalcification, Pathologic
N0000002077	C0026975	M0014321	D009187	Myelitis
N0000003221	C0034341	M0023593	D015324	Pyruvate Carboxylase Deficiency Disease
N0000003702	C0206652	M0027457	D018228	Sarcoma, Small Cell
N0000001722	C0022366	M0011835	D007575	Jaw, Edentulous
N0000003228	C0017150	M0023742	D015408	Gastrinoma
N0000003511	C0085436	M0025746	D016919	Meningitis, Cryptococcal
N0000003317	C0008525	M0024194	D015794	Choroideremia
N0000002245	C0029411	M0015511	D010004	Osteoarthropathy, Primary Hypertrophic
N0000002430	C0032269	M0017055	D011008	Pneumococcal Infections
N0000002867	C0038986	M0020920	D013543	Sweat Gland Diseases
N0000002061	C0026838	M0014243	D009128	Muscle Spasticity
N0000003807	C0242597	M0027596	D018370	Leukocyte-Adhesion Deficiency Syndrome
N0000011047	C0342849	M0446530	D044905	beta-Mannosidosis
N0000004211	C0264134	M0328457	D020859	Hallux Rigidus
N0000000797	C0009081	M0004650	D003025	Clubfoot
N0000002957	C0040254	M0021565	D014007	Tinea Favosa
N0000001409	C0018566	M0009781	D006228	Hand Deformities, Congenital
N0000001987	C0025297	M0013371	D008587	Meningitis, Viral
N0000001326	C0017417	M0009157	D005834	Genital Neoplasms, Male
N0000000773	C0008493	M0004336	D002820	Hydatidiform Mole, Invasive
N0000000795	C0009021	M0004618	D003003	Clonorchiasis
N0000183411	C0472513	M0549689	D059369	Pott Puffy Tumor
N0000000411	C0002986	M0001191	D000795	Fabry Disease
N0000001887	C0024141	M0012757	D008180	Lupus Erythematosus, Systemic
N0000002024	C0026393	M0013995	D008976	Molluscum Contagiosum
N0000182170	C0221243	M0543249	D058568	Necrolytic Migratory Erythema
N0000001111	C0014371	M0007486	D004767	Enterotoxemia
N0000003563	C0162677	M0026172	D017250	Caliciviridae Infections
N0000181205	C1279481	M0495084	D053632	X-Linked Combined Immunodeficiency Diseases
N0000000613	C0006160	M0002918	D001948	Brenner Tumor
N0000001371	C0018021	M0009516	D006042	Goiter
N0000004101	C0751891	M0328609	D020299	Intracranial Hemorrhage, Hypertensive
N0000003212	C0036917	M0023404	D015231	Sexually Transmitted Diseases, Bacterial
N0000001335	C0017563	M0009233	D005882	Gingival Diseases
N0000002918	C0039726	M0021262	D013786	Thalamic Diseases
N0000001853	C0023795	M0012568	D008065	Lipoid Proteinosis of Urbach and Wiethe
N0000003161	C0043124	M0022928	D014901	West Nile Fever
N0000181042	C0085642	M0026468	D054068	Livedo Reticularis
N0000002538	C0034049	M0018119	D011648	Pulmonary Adenomatosis, Ovine
N0000003122	C0042580	M0022634	D014718	Vesico-Ureteral Reflux
N0000003424	C0085109	M0025202	D016510	Corneal Neovascularization
N0000000934	C0011434	M0005956	D003809	Dentin, Secondary
N0000182219	C1696469	M0545384	D058923	Medial Tibial Stress Syndrome
N0000001732	C0022541	M0011934	D007625	Kearns-Sayre Syndrome
N0000181049	C0150045	M0461242	D053202	Urinary Incontinence, Urge
N0000001305	C0016978	M0008959	D005706	Gallbladder Neoplasms
N0000001372	C0018022	M0009517	D006043	Goiter, Endemic
N0000003129	C0042783	M0022766	D014782	Visceral Prolapse
N0000003311	C0016664	M0024170	D015775	Fractures, Stress
N0000003660	C0206613	M0027412	D018184	Paramyxoviridae Infections
N0000002366	C0031065	M0016314	D010501	Perinephritis
N0000000480	C0003869	M0001745	D001170	Arthritis, Infectious
N0000003301	C0026953	M0023989	D015651	Mycotoxicosis
N0000001002	C0013261	M0006873	D004370	Duane Retraction Syndrome
N0000000861	C0010078	M0005199	D003333	Coronaviridae Infections
N0000000541	C0005129	M0002403	D001606	Bernard-Soulier Syndrome
N0000003189	C0014858	M0023297	D015154	Esophageal Motility Disorders
N0000003076	C0041976	M0022336	D014526	Urethritis
N0000002055	C0026780	M0014202	D009107	Mumps
N0000001318	C0017162	M0009020	D005761	Gastroenteritis, Transmissible, of Swine
N0000001998	C0025467	M0013463	D008639	Mesenteric Cyst
N0000001176	C0015310	M0008040	D005099	Exotropia
N0000011032	C1258034	M0448313	D045463	Avulavirus Infections
N0000000645	C0006666	M0003144	D002115	Calciphylaxis
N0000010969	C0151526	M0012118	D047928	Premature Birth
N0000004158	C0333980	M0328479	D020518	Focal Nodular Hyperplasia
N0000001903	C0024282	M0012811	D008218	Lymphocytosis
N0000003954	C0524910	M0029252	D019698	Hepatitis C, Chronic
N0000000477	C0003860	M0001740	D001167	Arteritis
N0000000564	C0005695	M0002635	D001749	Urinary Bladder Neoplasms
N0000003415	C0085082	M0025155	D016469	Fungemia
N0000004123	C0751911	M0328233	D020361	Paraneoplastic Syndromes, Nervous System
N0000002363	C0031048	M0016304	D010494	Pericarditis, Constrictive
N0000171702	C0032768	M0480692	D051474	Neuralgia, Postherpetic
N0000182248	C2936421	M0543054	D058533	Sex Chromosome Disorders of Sex Development
N0000002463	C0032650	M0017285	D011151	Popliteal Cyst
N0000000494	C0004044	M0001859	D001237	Asphyxia
N0000003801	C0206752	M0027587	D018354	Alphavirus Infections
N0000004100	C0677866	M0328182	D020295	Brain Stem Neoplasms
N0000003765	C0025500	M0027535	D018301	Neoplasms, Mesothelial
N0000001976	C0025261	M0013349	D008569	Memory Disorders
N0000003038	C0041313	M0022117	D014386	Tuberculosis, Hepatic
N0000001043	C0013505	M0006962	D004445	Echinococcosis, Pulmonary
N0000003605	C0036205	M0026628	D017565	Sarcoidosis, Pulmonary
N0000183449	C3179088	M0556745	D061222	Lingual Nerve Injuries
N0000011150	C1136178	M0413654	D037801	Hammer Toe Syndrome
N0000002598	C0035228	M0018896	D012130	Respiratory Hypersensitivity
N0000002657	C0035934	M0019298	D012415	Rubinstein-Taybi Syndrome
N0000003001	C0040761	M0021842	D014188	Transposition of Great Vessels
N0000185616	C0406650	M0560975	D062027	Linear IgA Bullous Dermatosis
N0000182230	C2936229	M0538992	D057768	Infantile Apparent Life-Threatening Event
N0000000718	C0007772	M0003876	D002538	Intracranial Arteriovenous Malformations
N0000171654	C0007871	M0003939	D002581	Uterine Cervical Incompetence
N0000003792	C0206738	M0027566	D018331	Nevus, Spindle Cell
N0000003135	C0042875	M0022804	D014811	Vitamin E Deficiency
N0000181260	C1955934	M0505259	D054463	Trichothiodystrophy Syndromes
N0000003157	C0043102	M0022917	D014895	Weil Disease
N0000000519	C0376286	M0002041	D001361	Avitaminosis
N0000171662	C0878486	M0356224	D050379	Arteriolosclerosis
N0000002652	C0035851	M0019265	D012391	Root Resorption
N0000000333	C0001727	M0000528	D000343	Afferent Loop Syndrome
N0000001110	C0014358	M0007479	D004761	Enterocolitis, Pseudomembranous
N0000003027	C0041230	M0022075	D014354	Trypanosomiasis, Bovine
N0000001219	C0015702	M0008277	D005236	Favism
N0000003653	C0206603	M0027400	D018173	Circoviridae Infections
N0000002943	C0040136	M0021485	D013964	Thyroid Neoplasms
N0000001610	C0020517	M0010851	D006967	Hypersensitivity
N0000000338	C2364111	M0000568	D000370	Ageusia
N0000001541	C0019562	M0010373	D006623	von Hippel-Lindau Disease
N0000003110	C0042345	M0022531	D014648	Varicose Veins
N0000002253	C0029440	M0015541	D010016	Osteoma
N0000011079	C0025587	M0411789	D037061	Metatarsalgia
N0000003616	C0206115	M0026692	D017624	WAGR Syndrome
N0000000637	C0006436	M0003066	D002058	Burns, Electric
N0000003206	C0021390	M0023374	D015212	Inflammatory Bowel Diseases
N0000004053	C0238045	M0328206	D020216	Carotid-Cavernous Sinus Fistula
N0000000827	C0009492	M0004909	D003161	Compartment Syndromes
N0000011137	C0878544	M0014337	D009202	Cardiomyopathies
N0000003546	C0162627	M0026097	D017192	Skin Diseases, Bacterial
N0000003625	C0206157	M0026760	D017696	Myopathies, Nemaline
N0000000619	C0006271	M0002969	D001988	Bronchiolitis
N0000000720	C0007781	M0333623	D002542	Intracranial Embolism and Thrombosis
N0000001854	C0023798	M0012570	D008067	Lipoma
N0000003612	C0206085	M0026659	D017593	Kleine-Levin Syndrome
N0000000862	C0010153	M0005225	D003354	Corynebacterium Infections
N0000000531	C0004763	M0002186	D001471	Barrett Esophagus
N0000002290	C0030305	M0015809	D010195	Pancreatitis
N0000181011	C0001815	M0519745	D055728	Primary Myelofibrosis
N0000181185	C0878773	M0461241	D053201	Urinary Bladder, Overactive
N0000189365	C0221244	M0577887	D063807	Dandruff
N0000183433	C2986717	M0553961	D060426	Anti-N-Methyl-D-Aspartate Receptor Encephalitis
N0000000690	C0007273	M0003540	D002340	Carotid Artery Diseases
N0000002608	C0035305	M0018943	D012163	Retinal Detachment
N0000002675	C0036216	M0019435	D012513	Sarcoma, Experimental
N0000002913	C0039585	M0021189	D013734	Androgen-Insensitivity Syndrome
N0000003436	C0043117	M0025253	D016553	Purpura, Thrombocytopenic, Idiopathic
N0000004221	C0752294	M0328298	D020921	Sleep Arousal Disorders
N0000001075	C0014014	M0007328	D004654	Empyema, Tuberculous
N0000003679	C0206631	M0027434	D018205	Neoplasms, Adipose Tissue
N0000001014	C0013362	M0006911	D004401	Dysarthria
N0000003682	C0206634	M0027437	D018208	Liposarcoma, Myxoid
N0000000629	C0006325	M0002994	D002012	Bruxism
N0000000716	C1527348	M0003872	D002534	Hypoxia, Brain
N0000000387	C0002878	M0001123	D000743	Anemia, Hemolytic
N0000000841	C0009806	M0005043	D003248	Constipation
N0000004114	C0221060	M0008126	D020331	Mobius Syndrome
N0000001806	C0023290	M0012335	D007898	Leishmaniasis, Visceral
N0000003356	C0078981	M0024560	D016080	Arachnoid Cysts
N0000181127	C0339293	M0534693	D057112	Corneal Perforation
N0000001106	C0014335	M0007466	D004751	Enteritis
N0000004029	C0270853	M0328258	D020190	Myoclonic Epilepsy, Juvenile
N0000000739	C0007930	M0003982	D002598	Chagas Cardiomyopathy
N0000183407	C0342649	M0556640	D061205	Vascular Calcification
N0000004245	C0311386	M0355659	D021865	Isosporiasis
N0000002339	C0030756	M0016085	D010373	Lice Infestations
N0000001364	C0017923	M0009472	D006011	Glycogen Storage Disease Type IV
N0000002855	C0038587	M0020676	D013375	Substance Withdrawal Syndrome
N0000001786	C0023067	M0012236	D007827	Laryngitis
N0000181223	C1535893	M0511375	D054971	Orthostatic Intolerance
N0000001229	C0015814	M0008320	D005271	Femur Head Necrosis
N0000001078	C0014055	M0007356	D004671	Encephalitis, Arbovirus
N0000001602	C0020500	M0010842	D006959	Hyperoxaluria
N0000010971	C0175704	M0374986	D044542	LEOPARD Syndrome
N0000001647	C0020640	M0010925	D007020	Hypoprothrombinemias
N0000001357	C0017677	M0009310	D005929	Glossitis, Benign Migratory
N0000001791	C0023176	M0012268	D007855	Lead Poisoning
N0000003477	C0023283	M0025563	D016773	Leishmaniasis, Cutaneous
N0000000995	C0013076	M0006777	D004313	Dourine
N0000002812	C0038018	M0020379	D013169	Spondylolysis
N0000003689	C0029417	M0027444	D018215	Osteoblastoma
N0000003750	C0206703	M0027517	D018286	Carcinoma, Giant Cell
N0000000542	C0005138	M0002404	D001607	Berylliosis
N0000004070	C0153064	M0328384	D020241	Encephalomyelitis, Western Equine
N0000182196	C0406468	M0541545	D058247	Loose Anagen Hair Syndrome
N0000011147	C0949595	M0368823	D023961	Gonadal Dysgenesis, 46,XX
N0000003723	C0206672	M0027480	D018251	Hidrocystoma
N0000000372	C0002624	M0000990	D000648	Amnesia, Retrograde
N0000002636	C0035459	M0019022	D012222	Rhinitis, Atrophic
N0000002279	C0030200	M0015750	D010148	Pain, Intractable
N0000002662	C0036093	M0019375	D012466	Salivary Gland Diseases
N0000000461	C0003708	M0001656	D001100	Arachnoiditis
N0000003863	C0025269	M0028167	D018814	Multiple Endocrine Neoplasia Type 2b
N0000001890	C0024198	M0012774	D008193	Lyme Disease
N0000002706	C0036465	M0019565	D012610	Screw Worm Infection
N0000000261	C0848377	M0000007	D000007	Abdominal Injuries
N0000011114	C0267830	M0453772	D046290	Liver Abscess, Pyogenic
N0000181187	C0948031	M0512921	D055031	Primary Graft Dysfunction
N0000001518	C0019285	M0010262	D006549	Hernia, Diaphragmatic, Traumatic
N0000001031	C0013405	M0006932	D004418	Dyspnea, Paroxysmal
N0000000748	C0008043	M0004038	D002640	Chiari-Frommel Syndrome
N0000000592	C0006008	M0002818	D001882	Border Disease
N0000182213	C1305740	M0539613	D057887	Overbite
N0000171684	C0242341	M0010906	D050035	Sexual Infantilism
N0000183388	C0231835	M0549004	D059246	Tachypnea
N0000001707	C0021933	M0011617	D007443	Intussusception
N0000001287	C0016662	M0008808	D005597	Fractures, Open
N0000183371	C0150055	M0549837	D059350	Chronic Pain
N0000003336	C0042594	M0024253	D015837	Vestibular Diseases
N0000001835	C0023523	M0012418	D007967	Leukoedema, Oral
N0000003516	C0085541	M0025878	D017034	Epilepsy, Frontal Lobe
N0000000606	C0006112	M0002875	D001928	Brain Diseases, Metabolic
N0000000362	C0002390	M0000840	D000542	Alveolitis, Extrinsic Allergic
N0000181296	C2717956	M0533725	D056986	Euglenozoa Infections
N0000003539	C0162576	M0026023	D017129	Anisakiasis
N0000181236	C1720887	M0489295	D052776	Female Urogenital Diseases
N0000183437	C3178801	M0549842	D059409	Stroke, Lacunar
N0000001029	C0013403	M0006928	D004416	Dysplastic Nevus Syndrome
N0000001811	C0023364	M0012366	D007922	Leptospirosis
N0000003846	C0242917	M0028016	D018702	Filoviridae Infections
N0000003055	C0041351	M0022145	D014406	Tularemia
N0000010958	C0302280	M0000488	D047808	Adrenogenital Syndrome
N0000002871	C0039010	M0020935	D013555	Swine Vesicular Disease
N0000000447	C0003516	M0001562	D001028	Aortopulmonary Septal Defect
N0000000886	C0010598	M0005496	D003527	Cyclothymic Disorder
