doid	name	type
DOID:13756	Epiphora due to insufficient drainage (disorder)	exact-synonym
DOID:2075	minor vestibular glands adenoma	name
DOID:2075	adenoma of minor vestibular glands	related-synonym
DOID:1060	Hartnup disease	name
DOID:1060	deficiency of tryptophan oxygenase	exact-synonym
DOID:1060	Neutral 1 amino acid transport defect (disorder)	exact-synonym
DOID:1060	neutral amino acid transport defect	exact-synonym
DOID:970	tenosynovitis	name
DOID:970	Inflammation of tendon sheath	exact-synonym
DOID:0060311	adenoid hypertrophy	name
DOID:0060311	adenoidal hypertrophy	exact-synonym
DOID:0060311	enlarged adenoids	exact-synonym
DOID:2065	syringoma	name
DOID:2065	Syringoma (disorder)	exact-synonym
DOID:2065	Syringoma (morphologic abnormality)	exact-synonym
DOID:2065	Syringoma NOS (morphologic abnormality)	exact-synonym
DOID:13226	oculoglandular tularemia	name
DOID:13226	Oculoglandular tularemia (disorder)	exact-synonym
DOID:0060303	complement component 9 deficiency	name
DOID:1387	hypolipoproteinemia	name
DOID:1387	Hypolipoproteinaemia (disorder)	exact-synonym
DOID:1387	Lipoprotein deficiencies	related-synonym
DOID:2683	adenofibroma	name
DOID:2683	adenofibroma, no ICD-O subtype (morphologic abnormality)	exact-synonym
DOID:2051	maxillary sinusitis	name
DOID:9663	aphthous stomatitis	name
DOID:9663	Aphtha (morphologic abnormality)	exact-synonym
DOID:9663	Aphthous ulceration (disorder)	exact-synonym
DOID:9663	Canker sore	exact-synonym
DOID:9663	Oral aphthae	exact-synonym
DOID:9663	Oral aphthous ulcer	related-synonym
DOID:9663	oral ulcer	exact-synonym
DOID:13227	retinal dystrophies primarily involving Bruch's membrane	name
DOID:13227	retinal dystrophies primarily involving Bruch membrane	exact-synonym
DOID:7642	cholangiolocellular carcinoma	name
DOID:5172	endometrium carcinoma in situ	name
DOID:5172	carcinoma in situ of endometrium (disorder)	exact-synonym
DOID:5172	endometrial carcinoma in situ	exact-synonym
DOID:5732	pyosalpinx	name
DOID:5732	Pyosalpingitis	exact-synonym
DOID:5732	Pyosalpingitis	exact-synonym
DOID:5732	Pyosalpinx (disorder)	exact-synonym
DOID:0060307	autosomal dominant non-syndromic intellectual disability	name
DOID:0060307	autosomal dominant mental retardation	exact-synonym
DOID:0060307	autosomal dominant non-syndromic mental retardation	exact-synonym
DOID:2685	ossifying fibromyxoid tumor	name
DOID:2685	Ossifying fibromyxoid tumor (disorder)	exact-synonym
DOID:2685	Ossifying fibromyxoid tumor (morphologic abnormality)	exact-synonym
DOID:2685	Ossifying Fibromyxoma	exact-synonym
DOID:9415	allergic asthma	name
DOID:9415	atopic asthma	related-synonym
DOID:9415	extrinsic asthma with acute exacerbation	exact-synonym
DOID:9415	extrinsic asthma with status asthmaticus	exact-synonym
DOID:9415	Extrinsic asthma with status asthmaticus (disorder)	exact-synonym
DOID:106	pleural tuberculosis	name
DOID:106	Pearly disease (disorder)	exact-synonym
DOID:106	Tuberculosis of pleura	exact-synonym
DOID:106	Tuberculosis of Pleura	exact-synonym
DOID:106	Tuberculosis of pleura	exact-synonym
DOID:106	Tuberculosis of pleura (disorder)	exact-synonym
DOID:106	Tuberculosis of pleura (disorder) [Ambiguous]	exact-synonym
DOID:106	Tuberculous pleurisy	exact-synonym
DOID:106	tuberculous pleurisy in primary progressive tuberculosis	exact-synonym
DOID:106	Tuberculous pleurisy NOS (disorder)	exact-synonym
DOID:106	Tuberculous pleurisy, unspecified examination	exact-synonym
DOID:106	Tuberculous pleuritis (disorder)	exact-synonym
DOID:11294	arteriovenous malformation	name
DOID:11294	Arteriovenous hemangioma (disorder)	exact-synonym
DOID:11294	Cirsoid aneurysm	exact-synonym
DOID:11294	Racemose aneurysm (morphologic abnormality)	exact-synonym
DOID:11294	Racemose Angioma	exact-synonym
DOID:11294	Racemose hemangioma (morphologic abnormality)	exact-synonym
DOID:13760	Pthirus pubis infestation	name
DOID:13760	crabs	exact-synonym
DOID:13760	Infestation by Phthirus pubis (disorder)	exact-synonym
DOID:13760	Pediculosis Pubis	exact-synonym
DOID:13760	Pediculus pubis	exact-synonym
DOID:13760	Phthiriasis pubis	exact-synonym
DOID:13760	Phthirus pubis	exact-synonym
DOID:13760	Phthirus pubis [pubic louse]	exact-synonym
DOID:13760	Phthirus/pediculus pubis - pubic lice - crabs (& infestation)	exact-synonym
DOID:13760	Phthirus/pediculus pubis - pubic lice - crabs (& infestation)	exact-synonym
DOID:3306	mixed germ cell cancer	name
DOID:3306	mixed germ cell neoplasm	exact-synonym
DOID:3306	mixed germ cell tumour	exact-synonym
DOID:3306	mixed teratoma and Seminoma	exact-synonym
DOID:3306	mixed teratoma and seminoma	exact-synonym
DOID:9799	eye degenerative disease	name
DOID:518	scrotum neoplasm	name
DOID:518	malignant Scrotal neoplasm	exact-synonym
DOID:518	malignant tumor of scrotum (disorder)	exact-synonym
DOID:518	malignant tumour of scrotum	exact-synonym
DOID:518	neoplasm of scrotum (disorder)	exact-synonym
DOID:518	Scrotal Ca	exact-synonym
DOID:518	Scrotal tumor	exact-synonym
DOID:518	scrotum cancer	exact-synonym
DOID:14319	pleuropneumonia	name
DOID:14319	Pleurobronchopneumonia	exact-synonym
DOID:0050750	splenic marginal zone lymphoma	name
DOID:0050561	Lennox-Gastaut syndrome	name
DOID:0050561	Lennox syndrome	exact-synonym
DOID:10602	steatorrhea	name
DOID:10602	Fatty stool (finding)	exact-synonym
DOID:7951	Schwannian stroma-rich and stroma-poor composite ganglioneuroblastoma	name
DOID:13241	Behcet's disease	name
DOID:13241	Adamantiades-Behcet disease	exact-synonym
DOID:13241	Behcet syndrome	exact-synonym
DOID:13241	Behcet's syndrome	related-synonym
DOID:13241	Behet's syndrome (disorder)	exact-synonym
DOID:13241	triple symptom complex	exact-synonym
DOID:9452	fatty liver disease	name
DOID:9452	alcoholic fatty liver	exact-synonym
DOID:9452	Fatty change of liver	exact-synonym
DOID:9452	hepatic lipidosis	exact-synonym
DOID:9452	Steatosis of liver (disorder)	exact-synonym
DOID:10316	pneumoconiosis	name
DOID:1324	lung cancer	name
DOID:1324	lung neoplasm	related-synonym
DOID:10603	glucose intolerance	name
DOID:10603	Glucose: [intolerance] or [malabsorption]	exact-synonym
DOID:10603	Malabsorption of glucose (disorder)	exact-synonym
DOID:8353	epithelioid malignant peripheral nerve sheath tumor	name
DOID:8353	epithelioid MPNST	exact-synonym
DOID:8353	malignant epithelioid neoplasm of the peripheral nerve Sheath	exact-synonym
DOID:0050645	arterial tortuosity syndrome	name
DOID:9445	cervix squamous papilloma	name
DOID:9445	squamous papilloma of the Cervix Uteri	exact-synonym
DOID:7962	tamoxifen-Related endometrial Lesion	name
DOID:0060309	syndromic X-linked intellectual disability	name
DOID:0060309	syndromic X-linked mental retardation	exact-synonym
DOID:14320	generalized anxiety disorder	name
DOID:0060314	persistent generalized lymphadenopathy	name
DOID:0060314	PGL	exact-synonym
DOID:5162	arteriolosclerosis	name
DOID:5162	Arteriolosclerosis (morphologic abnormality)	exact-synonym
DOID:13767	clonorchiasis	name
DOID:13767	Clonorchiasis (disorder)	exact-synonym
DOID:13767	Oriental liver fluke disease	exact-synonym
DOID:206	hereditary multiple exostoses	name
DOID:206	hereditary multiple exostoses 1	exact-synonym
DOID:206	hereditary multiple exostoses 2	exact-synonym
DOID:206	hereditary multiple exostoses 3	exact-synonym
DOID:206	Multiple congenital exostosis	exact-synonym
DOID:206	Multiple exostosis syndromes	exact-synonym
DOID:206	multiple ostechondromas	exact-synonym
DOID:206	Osteochondromatosis syndrome (disorder) [Ambiguous]	exact-synonym
DOID:9681	cervical incompetence	name
DOID:13768	opisthorchiasis	name
DOID:13768	Infection by Opisthorchis	exact-synonym
DOID:13768	Opisthorchiasis (& [cat liver fluke infection])	exact-synonym
DOID:13768	Opisthorchiasis (disorder)	exact-synonym
DOID:9455	lipid storage disease	name
DOID:9455	inborn lipid storage disorder	exact-synonym
DOID:9455	Lipoid storage diseas	exact-synonym
DOID:9455	lipoidosis	exact-synonym
DOID:9455	Lipoidosis	exact-synonym
DOID:363	uterine cancer	name
DOID:363	CA - cancer of uterus	exact-synonym
DOID:363	Ca uterus NOS	exact-synonym
DOID:363	malignant neoplasm of uterus (disorder)	exact-synonym
DOID:363	malignant uterine tumor	exact-synonym
DOID:363	neoplasm of uterus (disorder)	exact-synonym
DOID:363	Tumour of uterus	exact-synonym
DOID:363	uterine tumor	exact-synonym
DOID:363	uterus neoplasm	exact-synonym
DOID:2696	Leydig cell tumor	name
DOID:2696	Leydig cell neoplasm	exact-synonym
DOID:0060313	tracheomalacia	name
DOID:0060313	congenital tracheomalacia	exact-synonym
DOID:5170	vaginal endometrial stromal sarcoma	name
DOID:0050659	biotin-responsive basal ganglia disease	name
DOID:9669	senile cataract	name
DOID:10607	tropical sprue	name
DOID:10607	Sprue - tropical	exact-synonym
DOID:10607	Tropical steatorrhea	exact-synonym
DOID:4301	vulva basal cell carcinoma	name
DOID:4301	basal cell carcinoma of the vulva	related-synonym
DOID:4301	Basal cell carcinoma of Vulva	exact-synonym
DOID:9461	exposure keratitis	name
DOID:9461	Exposure keratoconjunctivitis	exact-synonym
DOID:9461	lagophthalmic keratitis	exact-synonym
DOID:14019	Brucella canis brucellosis	name
DOID:10606	blind loop syndrome	name
DOID:10606	Bacterial overgrowth syndrome (disorder)	exact-synonym
DOID:10606	Blind loop syndrome	exact-synonym
DOID:10606	Blind loop syndrome (disorder)	exact-synonym
DOID:2698	nephrogenic adenofibroma	name
DOID:2698	Metanephric adenofibroma	exact-synonym
DOID:2698	Metanephric adenofibroma	exact-synonym
DOID:6405	ovarian papillary cystadenoma	name
DOID:90	degenerative disc disease	name
DOID:90	cervical disc degenerative disease	exact-synonym
DOID:90	intervertebral disc degeneration	exact-synonym
DOID:90	lumbar disc degeneration	exact-synonym
DOID:90	vertebral disc disease	exact-synonym
DOID:5189	epithelial predominant Wilms' tumor	name
DOID:5189	epithelial predominant kidney adenosarcoma	exact-synonym
DOID:5189	epithelial Predominant renal Wilms tumor	exact-synonym
DOID:13252	mesenteric vascular occlusion	name
DOID:0060338	parameningeal embryonal rhabdomyosarcoma	name
DOID:2068	Bartholin's gland neoplasm	name
DOID:2068	Bartholin gland neoplasm	exact-synonym
DOID:2068	tumor of Bartholin's gland	exact-synonym
DOID:10609	rickets	name
DOID:10609	active rickets	exact-synonym
DOID:10609	vitamin D hydroxylation-deficient rickets	exact-synonym
DOID:10609	vitamin D-dependent rickets	exact-synonym
DOID:0060315	oral hairy leukoplakia	name
DOID:0060315	hairy leukoplakia	exact-synonym
DOID:11283	peripheral scars of retina	name
DOID:3447	anus adenocarcinoma	name
DOID:3447	adenocarcinoma of anus	exact-synonym
DOID:3447	adenocarcinoma of the anus	related-synonym
DOID:9675	pulmonary emphysema	name
DOID:8036	childhood ovarian embryonal carcinoma	name
DOID:8036	childhood embryonal carcinoma of the ovary	related-synonym
DOID:8036	pediatric Embryonal carcinoma of Ovary	exact-synonym
DOID:5815	cerebral lymphoma	name
DOID:5815	brain primary lymphoma	exact-synonym
DOID:5815	primary cerebral lymphoma (disorder)	exact-synonym
DOID:5815	primary Lymphoma of Cerebrum	exact-synonym
DOID:1375	neonatal urinary tract infectious disease	name
DOID:1375	Neonatal urinary tract infection (disorder)	exact-synonym
DOID:1375	urinary tract infection of newborn	exact-synonym
DOID:4055	ectomesenchymoma	name
DOID:4055	Rhabdomyosarcoma with ganglionic differentiation (morphologic abnormality)	exact-synonym
DOID:3436	viral laryngitis	name
DOID:8043	chest wall parachordoma	name
DOID:8043	Parachordoma of the Chest Wall	exact-synonym
DOID:1596	mental depression	name
DOID:3203	macrocystic neurilemmoma	name
DOID:0060138	autotopagnosia	name
DOID:4057	gallbladder rhabdomyosarcoma	name
DOID:4057	Rhabdomyosarcoma of the gallbladder	exact-synonym
DOID:11289	ventilation pneumonitis	name
DOID:11289	Air-conditioner and humidifier lung (disorder)	exact-synonym
DOID:11289	Humidifier lung (disorder)	exact-synonym
DOID:3437	laryngitis	name
DOID:0050591	tooth agenesis	name
DOID:0050591	familial tooth agenesis	exact-synonym
DOID:0050591	hypodontia	exact-synonym
DOID:0050591	oligodontia	exact-synonym
DOID:0050591	selective tooth agenesis	exact-synonym
DOID:8030	periocular meningioma	name
DOID:0060151	tactile agnosia	name
DOID:6857	pineal region mature teratoma	name
DOID:6857	Mature teratoma of the Pineal Area	exact-synonym
DOID:11100	Q fever	name
DOID:11100	Infection due to Coxiella burnetii (disorder)	exact-synonym
DOID:687	hepatoblastoma	name
DOID:687	HBL	exact-synonym
DOID:0080027	spondyloepimetaphyseal dysplasia	name
DOID:2491	sensory peripheral neuropathy	name
DOID:2491	peripheral Sensory Neuropathy	exact-synonym
DOID:2491	sensory neuropathy	exact-synonym
DOID:2491	Sensory neuropathy (disorder)	exact-synonym
DOID:381	arthropathy	name
DOID:381	ankylosis of ankle and foot joint	exact-synonym
DOID:381	ankylosis of forearm joint	exact-synonym
DOID:381	ankylosis of hand joint	exact-synonym
DOID:381	Ankylosis of joint of ankle and/or foot (disorder)	exact-synonym
DOID:381	Ankylosis of joint of forearm (disorder)	exact-synonym
DOID:381	Ankylosis of joint of hand (disorder)	exact-synonym
DOID:381	Ankylosis of joint of lower leg (disorder)	exact-synonym
DOID:381	ankylosis of joint of multiple sites	exact-synonym
DOID:381	Ankylosis of joint of multiple sites (disorder)	exact-synonym
DOID:381	ankylosis of joint of pelvic region and thigh	exact-synonym
DOID:381	ankylosis of joint of shoulder region	exact-synonym
DOID:381	Ankylosis of joint of shoulder region (disorder)	exact-synonym
DOID:381	Ankylosis of joint of upper arm (disorder)	exact-synonym
DOID:381	ankylosis of lower leg joint	exact-synonym
DOID:381	Ankylosis of multiple joints	exact-synonym
DOID:381	ankylosis of upper arm joint	exact-synonym
DOID:381	Infectious arthropathy	exact-synonym
DOID:381	Joint ankylosis of the ankle and foot	exact-synonym
DOID:381	Joint ankylosis of the ankle and/or foot (disorder)	exact-synonym
DOID:381	Joint ankylosis of the forearm	exact-synonym
DOID:381	Joint ankylosis of the forearm (disorder)	exact-synonym
DOID:381	Joint ankylosis of the hand	exact-synonym
DOID:381	Joint ankylosis of the lower leg	exact-synonym
DOID:381	Joint ankylosis of the lower leg (disorder)	exact-synonym
DOID:381	Joint ankylosis of the pelvic region and thigh	exact-synonym
DOID:381	Joint ankylosis of the pelvic region and thigh (disorder)	exact-synonym
DOID:381	Joint ankylosis of the shoulder region	exact-synonym
DOID:381	Joint ankylosis of the shoulder region (disorder)	exact-synonym
DOID:381	Joint ankylosis of the upper arm	exact-synonym
DOID:381	Joint ankylosis of the upper arm (disorder)	exact-synonym
DOID:8031	pineal region meningioma	name
DOID:8031	Pineal meningioma	exact-synonym
DOID:5798	macrotrabecular hepatoblastoma	name
DOID:4054	prostate sarcoma	name
DOID:4054	sarcoma of the prostate	exact-synonym
DOID:5468	biliary papillomatosis	name
DOID:5468	bile duct papillomatosis	exact-synonym
DOID:8042	testis polyembryoma	name
DOID:8042	Polyembryoma of testis	exact-synonym
DOID:0050647	Arts syndrome	name
DOID:0050647	Lethal ataxia with deafness and optic atrophy	exact-synonym
DOID:11104	spotted fever	name
DOID:11104	Spotted fever group rickettsial disease (disorder)	exact-synonym
DOID:0060337	CEDNIK syndrome	name
DOID:0060337	cerebral dysgenesis, neuropathy, ichthyosis and keratoderma syndrome	exact-synonym
DOID:1614	male breast cancer	name
DOID:1614	malignant neoplasm of male breast	exact-synonym
DOID:1614	neoplasm of male breast (disorder)	exact-synonym
DOID:2410	skin granular cell tumor	name
DOID:2410	granular cell neoplasm of the skin	exact-synonym
DOID:2410	granular cell tumor of skin (disorder)	exact-synonym
DOID:8729	milker's nodule	name
DOID:8729	milker nodule	exact-synonym
DOID:8729	Milkers' node	exact-synonym
DOID:8729	Paravaccinia NOS (disorder)	exact-synonym
DOID:8729	Pseudocowpox	related-synonym
DOID:2493	gastric antral vascular ectasia	name
DOID:2493	gastric antral vascular ectasia (disorder)	exact-synonym
DOID:2493	Watermelon stomach (disorder)	exact-synonym
DOID:0060133	anosognosia	name
DOID:0080026	otospondylomegaepiphyseal dysplasia	name
DOID:0080026	CHONDRODYSTROPHY WITH SENSORINEURAL DEAFNESS	exact-synonym
DOID:0080026	NANCE-INSLEY SYNDROME	exact-synonym
DOID:0080026	NANCE-SWEENEY CHONDRODYSPLASIA	exact-synonym
DOID:5804	discrete subaortic stenosis	name
DOID:3446	anal Paget's disease	name
DOID:3446	anal Paget disease	exact-synonym
DOID:3446	Paget's disease of anus	exact-synonym
DOID:3446	Paget's disease of the anus	related-synonym
DOID:3443	mammary Paget's disease	name
DOID:3443	mammary Paget disease	exact-synonym
DOID:3443	Paget cell neoplasm	exact-synonym
DOID:3443	Paget's disease	exact-synonym
DOID:3443	Paget's disease of the breast 	exact-synonym
DOID:0060137	auditory agnosia	name
DOID:8060	frontal sinus inverted papilloma	name
DOID:8060	Inverted papilloma of the Frontal sinus	exact-synonym
DOID:12638	hypertrophic pyloric stenosis	name
DOID:12638	congenital hypertrophic pyloric stenosis	exact-synonym
DOID:12638	congenital or infantile stricture of pylorus	exact-synonym
DOID:3445	scrotal carcinoma	name
DOID:3445	carcinoma of scrotum	exact-synonym
DOID:3981	pantothenate kinase-associated neurodegeneration	name
DOID:3981	brain Iron Accumulation type I syndrome	exact-synonym
DOID:3981	Hallervorden-Spatz disease	exact-synonym
DOID:3981	Hallervorden-Spatz syndrome	exact-synonym
DOID:3981	neurodegeneration with brain iron accumulation 1 	exact-synonym
DOID:3981	Pigmentary pallidal degeneration (disorder)	exact-synonym
DOID:8051	bladder papillary clear cell adenocarcinoma	name
DOID:11772	leukocoria	name
DOID:11772	Leucocoria	exact-synonym
DOID:11772	Leukocoria (disorder)	exact-synonym
DOID:4064	bile duct sarcoma	name
DOID:4064	sarcoma of the bile duct	exact-synonym
DOID:4065	mixed type rhabdomyosarcoma	name
DOID:4065	mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma	exact-synonym
DOID:4065	mixed type Rhabdomyosarcoma	exact-synonym
DOID:331	central nervous system disease	name
DOID:5809	childhood parosteal osteogenic sarcoma	name
DOID:5810	adenosine deaminase deficiency	name
DOID:5810	ADA 	exact-synonym
DOID:2044	drug-induced hepatitis	name
DOID:2044	Drug-induced chronic hepatitis (disorder)	exact-synonym
DOID:4061	testis rhabdomyosarcoma	name
DOID:4061	Rhabdomyosarcoma of testis	exact-synonym
DOID:4071	duodenogastric reflux	name
DOID:4071	Duodenogastric reflux (finding)	exact-synonym
DOID:8058	pituitary stalk meningioma	name
DOID:8058	meningioma of the Pituitary Stalk	exact-synonym
DOID:5812	MHC class II deficiency	name
DOID:5812	bare lymphocyte syndrome type II	exact-synonym
DOID:5812	BLSII	exact-synonym
DOID:5812	SCID due to absent class II HLA antigens (disorder)	exact-synonym
DOID:0080014	chromosomal disease	name
DOID:0060142	form agnosia	name
DOID:4062	testis sarcoma	name
DOID:4062	sarcoma of testis	exact-synonym
DOID:8660	postcricoid region cancer	name
DOID:8660	malignant Postcricoid tumor	exact-synonym
DOID:8660	malignant tumor of pharyngoesophageal junction	exact-synonym
DOID:11111	hydronephrosis	name
DOID:0050597	intestinal schistosomiasis	name
DOID:0050597	Katayama fever	exact-synonym
DOID:0050597	Schistosoma japonicum infection	exact-synonym
DOID:0050597	Schistosoma mansoni infectious disease	exact-synonym
DOID:0050597	schistosomiasis japonica	exact-synonym
DOID:5813	purine nucleoside phosphorylase deficiency	name
DOID:5813	deficiency of inosine phosphorylase	exact-synonym
DOID:5813	deficiency of inosine phosphorylase	exact-synonym
DOID:5813	PNP deficiency	exact-synonym
DOID:5813	Purine nucleoside phosphorylase deficiency	exact-synonym
DOID:5813	Purine-Nucleoside Phosphorylase deficiency	exact-synonym
DOID:11119	Gilles de la Tourette syndrome	name
DOID:11119	Guinon's disease	exact-synonym
DOID:11119	motor-verbal tic disorder	exact-synonym
DOID:11119	Psychogenic tics	exact-synonym
DOID:11119	Tourette syndrome	exact-synonym
DOID:7503	extrahepatic bile duct papillary adenoma	name
DOID:7503	Papillary adenoma of the extrahepatic bile duct	exact-synonym
DOID:807	carotid artery occlusion	name
DOID:807	Occlusion and stenosis of carotid artery	exact-synonym
DOID:10525	double pterygium	name
DOID:10525	Double pterygium (disorder)	exact-synonym
DOID:2513	basal cell carcinoma	name
DOID:2513	Basal cell cancer	exact-synonym
DOID:2513	Basal cell carcinoma NOS (morphologic abnormality)	exact-synonym
DOID:2513	BASAL CELL carcinoma OF SKIN	exact-synonym
DOID:2513	Basal cell carcinoma of skin (disorder)	exact-synonym
DOID:2513	Basal cell neoplasm (morphologic abnormality)	exact-synonym
DOID:2513	Basal cell neoplasm NOS (morphologic abnormality)	exact-synonym
DOID:2513	Basal cell tumor	exact-synonym
DOID:2513	Basal cell tumor (morphologic abnormality)	exact-synonym
DOID:2513	Epithelioma basal cell (disorder)	exact-synonym
DOID:2513	malignant Basal cell neoplasm	exact-synonym
DOID:2513	malignant basal cell tumor	exact-synonym
DOID:2513	malignant basal cell tumor (morphologic abnormality)	exact-synonym
DOID:2513	Rodent ulcer	exact-synonym
DOID:2513	Rodent ulcer	exact-synonym
DOID:2513	Rodent ulcer	exact-synonym
DOID:2513	Rodent ulcer	exact-synonym
DOID:2508	Takayasu's arteritis	name
DOID:2508	(Aortic arch arteritis) or (Takayasu's disease[& pulseless])	exact-synonym
DOID:2508	Aortic arch arteritis	exact-synonym
DOID:2508	Aortic Arch syndrome	exact-synonym
DOID:2508	Aortic arch syndrome	exact-synonym
DOID:2508	Idiopathic aortitis (disorder)	exact-synonym
DOID:2508	Takayasu arteritis	exact-synonym
DOID:2508	Takayasu's disease	exact-synonym
DOID:3907	lung squamous cell carcinoma	name
DOID:3907	Epidermoid cell carcinoma of the lung	exact-synonym
DOID:3907	squamous cell carcinoma of lung	related-synonym
DOID:4066	anus rhabdomyosarcoma	name
DOID:4066	rhabdomyosarcoma of anus	exact-synonym
DOID:3450	cutaneous Paget's disease	name
DOID:3450	cutaneous Paget disease	exact-synonym
DOID:3450	Cutaneous Paget's disease	exact-synonym
DOID:3450	Paget's disease of skin (morphologic abnormality)	exact-synonym
DOID:2231	factor XII deficiency	name
DOID:2231	deficiency, Hageman	exact-synonym
DOID:2231	Factor XII deficiency disease (disorder)	exact-synonym
DOID:2231	Hageman Factor deficiency	exact-synonym
DOID:5821	methotrexate-associated lymphoproliferation	name
DOID:1616	benign eccrine breast spiradenoma	name
DOID:1616	benign Eccrine breast Spiradenoma	exact-synonym
DOID:4074	pancreas adenocarcinoma	name
DOID:4074	adenocarcinoma of the pancreas	related-synonym
DOID:4074	pancreatic adenocarcinoma	exact-synonym
DOID:7960	malignant spiradenoma	name
