slim_id	slim_name	subsumed_id	subsumed_name	min_distance
DOID:10283	prostate cancer	DOID:7141	prostate small cell carcinoma	2
DOID:10283	prostate cancer	DOID:7152	prostate stromal sarcoma	2
DOID:10283	prostate cancer	DOID:7246	lymphoepithelioma-like acinar prostate adenocarcinoma	3
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0
DOID:10534	stomach cancer	DOID:10536	malignant gastric granular cell tumor	1
DOID:10534	stomach cancer	DOID:10538	gastric fundus cancer	1
DOID:10534	stomach cancer	DOID:10540	gastric lymphoma	1
DOID:10534	stomach cancer	DOID:10541	microinvasive gastric cancer	3
DOID:10534	stomach cancer	DOID:10544	pylorus cancer	1
DOID:10534	stomach cancer	DOID:10547	pyloric antrum cancer	2
DOID:10534	stomach cancer	DOID:10548	cardia cancer	1
DOID:10534	stomach cancer	DOID:3716	mucinous stomach adenocarcinoma	4
DOID:10534	stomach cancer	DOID:3717	gastric adenocarcinoma	2
DOID:10534	stomach cancer	DOID:4023	linitis plastica	4
DOID:10534	stomach cancer	DOID:4716	malignant gastric germ cell tumor	1
DOID:10534	stomach cancer	DOID:5280	gastric leiomyosarcoma	1
DOID:10534	stomach cancer	DOID:5516	gastric squamous cell carcinoma	2
DOID:10534	stomach cancer	DOID:5517	stomach carcinoma	1
DOID:10534	stomach cancer	DOID:5579	gastric gastrinoma	1
DOID:10534	stomach cancer	DOID:5593	gastric papillary adenocarcinoma	3
DOID:10534	stomach cancer	DOID:5635	gastric adenosquamous carcinoma	2
DOID:10534	stomach cancer	DOID:5700	gastric liposarcoma	1
DOID:10534	stomach cancer	DOID:6217	gastric diffuse adenocarcinoma	3
DOID:10534	stomach cancer	DOID:6270	gastric cardia carcinoma	2
DOID:10534	stomach cancer	DOID:6271	gastric cardia adenocarcinoma	3
DOID:10534	stomach cancer	DOID:6552	gastric small cell carcinoma	2
DOID:10534	stomach cancer	DOID:6595	gastric tubular adenocarcinoma	3
DOID:10534	stomach cancer	DOID:6700	gastric fundus carcinoma	2
DOID:10534	stomach cancer	DOID:6703	gastric pylorus carcinoma	2
DOID:10534	stomach cancer	DOID:6705	gastric body carcinoma	2
DOID:10534	stomach cancer	DOID:6948	malignant gastric teratoma	2
DOID:10534	stomach cancer	DOID:8025	gastric signet ring cell adenocarcinoma	4
DOID:10608	celiac disease	DOID:10608	celiac disease	0
DOID:10652	Alzheimer's disease	DOID:10652	Alzheimer's disease	0
DOID:10763	hypertension	DOID:10177	malignant hypertensive renal disease	3
DOID:10763	hypertension	DOID:10590	mild pre-eclampsia	2
DOID:10763	hypertension	DOID:10591	pre-eclampsia	1
DOID:10763	hypertension	DOID:1073	renal hypertension	2
DOID:10763	hypertension	DOID:10763	hypertension	0
DOID:10763	hypertension	DOID:10823	malignant essential hypertension	2
DOID:10763	hypertension	DOID:10824	malignant hypertension	1
DOID:10763	hypertension	DOID:10825	essential hypertension	1
DOID:10763	hypertension	DOID:10913	benign essential hypertension	2
DOID:10763	hypertension	DOID:11130	secondary hypertension	1
DOID:10763	hypertension	DOID:11516	hypertensive heart disease	1
DOID:10763	hypertension	DOID:11520	benign hypertensive renal disease	3
DOID:10763	hypertension	DOID:11664	nephrosclerosis	3
DOID:10763	hypertension	DOID:13042	persistent fetal circulation syndrome	2
DOID:10763	hypertension	DOID:13129	severe pre-eclampsia	2
DOID:10763	hypertension	DOID:13133	HELLP syndrome	3
DOID:10763	hypertension	DOID:13143	benign secondary hypertension	2
DOID:10763	hypertension	DOID:13145	benign renovascular hypertension	3
DOID:10763	hypertension	DOID:13593	eclampsia	2
DOID:10763	hypertension	DOID:13730	malignant renovascular hypertension	3
DOID:10763	hypertension	DOID:13731	malignant secondary hypertension	2
DOID:10763	hypertension	DOID:1591	renovascular hypertension	3
DOID:10763	hypertension	DOID:5453	pulmonary venoocclusive disease	2
DOID:10763	hypertension	DOID:6432	pulmonary hypertension	1
DOID:10811	nasal cavity cancer	DOID:10811	nasal cavity cancer	0
DOID:10811	nasal cavity cancer	DOID:10812	nasal cavity olfactory neuroblastoma	1
DOID:10811	nasal cavity cancer	DOID:10813	nasal cavity lymphoma	1
DOID:10811	nasal cavity cancer	DOID:4930	nasal cavity adenocarcinoma	2
DOID:10811	nasal cavity cancer	DOID:4931	nasal cavity carcinoma	1
DOID:10811	nasal cavity cancer	DOID:5515	nasal cavity squamous cell carcinoma	2
DOID:10811	nasal cavity cancer	DOID:8415	carcinoma arising in nasal papillomatosis	2
DOID:10871	age related macular degeneration	DOID:0050817	Stargardt disease	1
DOID:10871	age related macular degeneration	DOID:10871	age related macular degeneration	0
DOID:1094	attention deficit hyperactivity disorder	DOID:1094	attention deficit hyperactivity disorder	0
DOID:10941	intracranial aneurysm	DOID:0060228	intracranial berry aneurysm	1
DOID:10941	intracranial aneurysm	DOID:10941	intracranial aneurysm	0
DOID:10976	membranous glomerulonephritis	DOID:10976	membranous glomerulonephritis	0
DOID:11054	urinary bladder cancer	DOID:11054	urinary bladder cancer	0
DOID:11054	urinary bladder cancer	DOID:11593	bladder lateral wall cancer	1
DOID:11054	urinary bladder cancer	DOID:11809	bladder neck cancer	1
DOID:11054	urinary bladder cancer	DOID:11811	urinary bladder posterior wall cancer	1
DOID:11054	urinary bladder cancer	DOID:11812	bladder sarcoma	1
DOID:11054	urinary bladder cancer	DOID:11813	bladder trigone cancer	1
DOID:11054	urinary bladder cancer	DOID:11814	urinary bladder anterior wall cancer	1
DOID:11054	urinary bladder cancer	DOID:11817	urachus cancer	1
DOID:11054	urinary bladder cancer	DOID:11818	ureteric orifice cancer	1
DOID:11054	urinary bladder cancer	DOID:11820	bladder dome cancer	1
DOID:11054	urinary bladder cancer	DOID:11821	bladder lymphoma	1
DOID:11054	urinary bladder cancer	DOID:3710	bladder colloid adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:3711	bladder adenocarcinoma	2
DOID:11054	urinary bladder cancer	DOID:3741	bladder verrucous squamous cell carcinoma	3
DOID:11054	urinary bladder cancer	DOID:3742	bladder squamous cell carcinoma	2
DOID:11054	urinary bladder cancer	DOID:4006	bladder transitional cell carcinoma	2
DOID:11054	urinary bladder cancer	DOID:4007	bladder carcinoma	1
DOID:11054	urinary bladder cancer	DOID:5306	bladder clear cell adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:5427	urinary bladder villous adenoma	1
DOID:11054	urinary bladder cancer	DOID:5957	bladder urachal squamous cell carcinoma	3
DOID:11054	urinary bladder cancer	DOID:5958	bladder urachal carcinoma	2
DOID:11054	urinary bladder cancer	DOID:6210	bladder diffuse clear cell adenocarcinoma	4
DOID:11054	urinary bladder cancer	DOID:6476	clear cell variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:6477	invasive bladder transitional cell carcinoma	3
DOID:11054	urinary bladder cancer	DOID:6481	bladder signet ring cell adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:6571	non-invasive bladder urothelial carcinoma	3
DOID:11054	urinary bladder cancer	DOID:6594	bladder colonic type adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:6975	bladder urothelial papillary carcinoma	3
DOID:11054	urinary bladder cancer	DOID:6976	micropapillary variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7132	urinary bladder small cell neuroendocrine carcinoma	2
DOID:11054	urinary bladder cancer	DOID:7244	bladder urachal urothelial carcinoma	3
DOID:11054	urinary bladder cancer	DOID:7315	Jewett-Marshall bladder cancer	2
DOID:11054	urinary bladder cancer	DOID:7371	superficial urinary bladder cancer	2
DOID:11054	urinary bladder cancer	DOID:7553	infiltrating bladder urothelial carcinoma sarcomatoid variant	4
DOID:11054	urinary bladder cancer	DOID:7600	infiltrating bladder lymphoepithelioma-like carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7694	bladder urachal adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:7967	lipid-cell variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7968	plasmacytoid variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7969	nested variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7971	microcystic variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:7972	lymphoma-like variant infiltrating bladder urothelial carcinoma	4
DOID:11054	urinary bladder cancer	DOID:8050	bladder tubulo-cystic clear cell adenocarcinoma	4
DOID:11054	urinary bladder cancer	DOID:8051	bladder papillary clear cell adenocarcinoma	4
DOID:11054	urinary bladder cancer	DOID:8096	bladder mixed adenocarcinoma	3
DOID:11054	urinary bladder cancer	DOID:8097	bladder hepatoid adenocarcinoma	3
DOID:11119	Gilles de la Tourette syndrome	DOID:11119	Gilles de la Tourette syndrome	0
DOID:1115	sarcoma	DOID:0001816	angiosarcoma	1
DOID:1115	sarcoma	DOID:1115	sarcoma	0
DOID:1115	sarcoma	DOID:265	spleen angiosarcoma	2
DOID:1115	sarcoma	DOID:268	liver angiosarcoma	2
DOID:1115	sarcoma	DOID:355	mast-cell sarcoma	1
DOID:1115	sarcoma	DOID:4233	clear cell sarcoma	1
DOID:1115	sarcoma	DOID:4235	spindle cell sarcoma	1
DOID:1115	sarcoma	DOID:4505	pediatric angiosarcoma	2
DOID:1115	sarcoma	DOID:4512	conventional angiosarcoma	2
DOID:1115	sarcoma	DOID:4513	gallbladder angiosarcoma	2
DOID:1115	sarcoma	DOID:4522	superior vena cava angiosarcoma	2
DOID:1115	sarcoma	DOID:4524	prostate angiosarcoma	2
DOID:1115	sarcoma	DOID:4525	mediastinum angiosarcoma	2
DOID:1115	sarcoma	DOID:4527	ovarian angiosarcoma	2
DOID:1115	sarcoma	DOID:7615	sarcomatosis	1
DOID:11239	appendix cancer	DOID:0050911	appendix carcinoid tumor	1
DOID:11239	appendix cancer	DOID:11239	appendix cancer	0
DOID:11239	appendix cancer	DOID:11241	appendix lymphoma	1
DOID:11239	appendix cancer	DOID:3559	pseudomyxoma peritonei	1
DOID:11239	appendix cancer	DOID:3607	appendix mucinous cystadenocarcinoma	3
DOID:11239	appendix cancer	DOID:3608	appendix adenocarcinoma	2
DOID:11239	appendix cancer	DOID:4902	appendix carcinoma	1
DOID:11239	appendix cancer	DOID:8151	appendiceal L-cell glucagon-like peptide producing tumor	1
DOID:11476	osteoporosis	DOID:11476	osteoporosis	0
DOID:11476	osteoporosis	DOID:12559	idiopathic juvenile osteoporosis	1
DOID:11555	Fuchs' endothelial dystrophy	DOID:11555	Fuchs' endothelial dystrophy	0
DOID:11612	polycystic ovary syndrome	DOID:11612	polycystic ovary syndrome	0
DOID:11615	penile cancer	DOID:11615	penile cancer	0
DOID:11615	penile cancer	DOID:11838	penis sarcoma	1
DOID:11615	penile cancer	DOID:11839	glans penis cancer	1
DOID:11615	penile cancer	DOID:3448	penis Paget's disease	2
DOID:11615	penile cancer	DOID:3449	penis carcinoma	1
DOID:11615	penile cancer	DOID:4277	penis basal cell carcinoma	2
DOID:11615	penile cancer	DOID:5518	penis squamous cell carcinoma	2
DOID:11615	penile cancer	DOID:5907	penis non-invasive verrucous carcinoma	4
DOID:11615	penile cancer	DOID:5908	penis verrucous carcinoma	3
DOID:11615	penile cancer	DOID:7047	penis basaloid carcinoma	3
DOID:11615	penile cancer	DOID:7958	sarcomatoid penile squamous cell carcinoma	3
DOID:11615	penile cancer	DOID:8009	penis mixed squamous cell carcinoma	3
DOID:11615	penile cancer	DOID:8013	penis papillary carcinoma	3
DOID:11714	gestational diabetes	DOID:11714	gestational diabetes	0
DOID:11819	ureter cancer	DOID:11818	ureteric orifice cancer	1
DOID:11819	ureter cancer	DOID:11819	ureter cancer	0
DOID:11819	ureter cancer	DOID:14489	ureteral lymphoma	1
DOID:11819	ureter cancer	DOID:14491	regional ureteric cancer	2
DOID:11819	ureter cancer	DOID:4938	ureter adenocarcinoma	2
DOID:11819	ureter cancer	DOID:4939	ureter carcinoma	1
DOID:11819	ureter cancer	DOID:5539	ureter squamous cell carcinoma	2
DOID:11819	ureter cancer	DOID:6845	infiltrating ureter transitional cell carcinoma	3
DOID:11819	ureter cancer	DOID:6886	ureter small cell carcinoma	2
DOID:11819	ureter cancer	DOID:6888	ureter transitional cell carcinoma	2
DOID:119	vaginal cancer	DOID:0050918	vaginal carcinoma	1
DOID:119	vaginal cancer	DOID:119	vaginal cancer	0
DOID:119	vaginal cancer	DOID:133	vaginal mullerian papilloma	2
DOID:119	vaginal cancer	DOID:134	vaginal glandular tumor	1
DOID:119	vaginal cancer	DOID:136	vaginal carcinosarcoma	2
DOID:119	vaginal cancer	DOID:137	vagina squamous papilloma	2
DOID:119	vaginal cancer	DOID:138	vaginal squamous tumor	1
DOID:119	vaginal cancer	DOID:1901	vagina sarcoma	1
DOID:119	vaginal cancer	DOID:1910	vaginal yolk sac tumor	1
DOID:119	vaginal cancer	DOID:4117	vaginal adenosarcoma	3
DOID:119	vaginal cancer	DOID:5170	vaginal endometrial stromal sarcoma	2
DOID:119	vaginal cancer	DOID:5171	vaginal endometrial stromal tumor	1
DOID:119	vaginal cancer	DOID:5283	vagina leiomyosarcoma	2
DOID:119	vaginal cancer	DOID:6787	childhood vagina botryoid rhabdomyosarcoma	3
DOID:119	vaginal cancer	DOID:6788	vagina botryoid rhabdomyosarcoma	2
DOID:119	vaginal cancer	DOID:6848	adult vagina botryoid rhabdomyosarcoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:0050935	cervical neuroblastoma	4
DOID:1192	peripheral nervous system neoplasm	DOID:1192	peripheral nervous system neoplasm	0
DOID:1192	peripheral nervous system neoplasm	DOID:13742	neurofibroma of spinal cord	3
DOID:1192	peripheral nervous system neoplasm	DOID:14534	malignant cardiac peripheral nerve sheath neoplasm	3
DOID:1192	peripheral nervous system neoplasm	DOID:2621	autonomic nervous system neoplasm	1
DOID:1192	peripheral nervous system neoplasm	DOID:2669	Pacinian tumor	3
DOID:1192	peripheral nervous system neoplasm	DOID:3193	peripheral nerve sheath neoplasm	1
DOID:1192	peripheral nervous system neoplasm	DOID:3201	sympathetic neurilemmoma	2
DOID:1192	peripheral nervous system neoplasm	DOID:3512	neurofibrosarcoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:371	extracranial neuroblastoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:4160	differentiating neuroblastoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:4163	ganglioneuroblastoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:4690	childhood mediastinal neurogenic tumor	1
DOID:1192	peripheral nervous system neoplasm	DOID:4693	nerve plexus neoplasm	1
DOID:1192	peripheral nervous system neoplasm	DOID:4696	intraneural perineurioma	3
DOID:1192	peripheral nervous system neoplasm	DOID:4697	perineurioma	2
DOID:1192	peripheral nervous system neoplasm	DOID:4698	nerve root neoplasm	1
DOID:1192	peripheral nervous system neoplasm	DOID:4817	ganglioneuroma	2
DOID:1192	peripheral nervous system neoplasm	DOID:5149	epithelioid neurofibroma	3
DOID:1192	peripheral nervous system neoplasm	DOID:5150	neurofibroma of gallbladder	3
DOID:1192	peripheral nervous system neoplasm	DOID:5151	plexiform neurofibroma	3
DOID:1192	peripheral nervous system neoplasm	DOID:5152	cellular neurofibroma	3
DOID:1192	peripheral nervous system neoplasm	DOID:5153	atypical neurofibroma	3
DOID:1192	peripheral nervous system neoplasm	DOID:5193	nodular ganglioneuroblastoma	4
DOID:1192	peripheral nervous system neoplasm	DOID:5194	intermixed schwannian stroma-rich ganglioneuroblastoma	4
DOID:1192	peripheral nervous system neoplasm	DOID:5195	peripheral nervous system ganglioneuroblastoma	4
DOID:1192	peripheral nervous system neoplasm	DOID:5913	brachial plexus neoplasm	2
DOID:1192	peripheral nervous system neoplasm	DOID:5940	malignant peripheral nerve sheath tumor	2
DOID:1192	peripheral nervous system neoplasm	DOID:6344	melanocytic psammomatous MPNST	4
DOID:1192	peripheral nervous system neoplasm	DOID:6345	malignant melanocytic neoplasm of the peripheral nerve sheath	3
DOID:1192	peripheral nervous system neoplasm	DOID:6707	malignant triton tumor	3
DOID:1192	peripheral nervous system neoplasm	DOID:769	neuroblastoma	2
DOID:1192	peripheral nervous system neoplasm	DOID:7732	childhood malignant schwannoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:7949	stroma-dominant and stroma-poor composite ganglioneuroblastoma	5
DOID:1192	peripheral nervous system neoplasm	DOID:7951	Schwannian stroma-rich and stroma-poor composite ganglioneuroblastoma	5
DOID:1192	peripheral nervous system neoplasm	DOID:8353	epithelioid malignant peripheral nerve sheath tumor	3
DOID:1192	peripheral nervous system neoplasm	DOID:8369	adult malignant schwannoma	3
DOID:1192	peripheral nervous system neoplasm	DOID:8389	lumbar plexus neoplasm	2
DOID:1192	peripheral nervous system neoplasm	DOID:8420	malignant glandular tumor of peripheral nerve sheath	3
DOID:1192	peripheral nervous system neoplasm	DOID:9300	neurofibroma of the heart	3
DOID:1192	peripheral nervous system neoplasm	DOID:961	neurofibroma of the esophagus	3
DOID:1192	peripheral nervous system neoplasm	DOID:962	neurofibroma	2
DOID:11920	tracheal cancer	DOID:0050919	trachea mucoepidermoid carcinoma	2
DOID:11920	tracheal cancer	DOID:11920	tracheal cancer	0
DOID:11920	tracheal cancer	DOID:12001	tracheal lymphoma	1
DOID:11920	tracheal cancer	DOID:12002	trachea sarcoma	1
DOID:11920	tracheal cancer	DOID:12003	trachea squamous cell carcinoma	2
DOID:11920	tracheal cancer	DOID:4875	trachea adenoid cystic carcinoma	2
DOID:11920	tracheal cancer	DOID:4876	trachea carcinoma	1
DOID:11934	head and neck cancer	DOID:11934	head and neck cancer	0
DOID:11934	head and neck cancer	DOID:1542	head and neck carcinoma	1
DOID:11934	head and neck cancer	DOID:5520	head and neck squamous cell carcinoma	2
DOID:11949	Creutzfeldt-Jakob disease	DOID:11949	Creutzfeldt-Jakob disease	0
DOID:12185	otosclerosis	DOID:12185	otosclerosis	0
DOID:12236	primary biliary cirrhosis	DOID:12236	primary biliary cirrhosis	0
DOID:12306	vitiligo	DOID:12306	vitiligo	0
DOID:12361	Graves' disease	DOID:12361	Graves' disease	0
DOID:12365	malaria	DOID:12365	malaria	0
DOID:12365	malaria	DOID:12919	Plasmodium ovale malaria	1
DOID:12365	malaria	DOID:12978	Plasmodium vivax malaria	1
DOID:12365	malaria	DOID:14067	Plasmodium falciparum malaria	1
DOID:12365	malaria	DOID:14068	blackwater fever	1
DOID:12365	malaria	DOID:14069	cerebral malaria	1
DOID:12365	malaria	DOID:14324	Plasmodium malariae malaria	1
DOID:12365	malaria	DOID:14325	mixed malaria	1
DOID:1245	vulva cancer	DOID:11905	labium majus cancer	1
DOID:1245	vulva cancer	DOID:1243	labia minora cancer	1
DOID:1245	vulva cancer	DOID:1245	vulva cancer	0
DOID:1245	vulva cancer	DOID:1293	labia minora carcinoma	2
DOID:1245	vulva cancer	DOID:1294	vulva carcinoma	1
DOID:1245	vulva cancer	DOID:13389	labia majora carcinoma	2
DOID:1245	vulva cancer	DOID:2068	Bartholin's gland neoplasm	2
DOID:1245	vulva cancer	DOID:2071	vulvar squamous papilloma	2
DOID:1245	vulva cancer	DOID:2072	vulvar squamous tumor	1
DOID:1245	vulva cancer	DOID:2075	minor vestibular glands adenoma	2
DOID:1245	vulva cancer	DOID:2076	vulvar glandular tumor	1
DOID:1245	vulva cancer	DOID:2093	vulvar melanoma	1
DOID:1245	vulva cancer	DOID:2096	vulvar sarcoma	1
DOID:1245	vulva cancer	DOID:2097	vulval Paget's disease	3
DOID:1245	vulva cancer	DOID:2098	vulva adenocarcinoma	2
DOID:1245	vulva cancer	DOID:2101	vulva squamous cell carcinoma	2
DOID:1245	vulva cancer	DOID:2401	clitoris cancer	1
DOID:1245	vulva cancer	DOID:3740	vulva verrucous carcinoma	3
DOID:1245	vulva cancer	DOID:3998	Bartholin's gland transitional cell carcinoma	3
DOID:1245	vulva cancer	DOID:3999	Bartholin's gland carcinoma	2
DOID:1245	vulva cancer	DOID:4301	vulva basal cell carcinoma	2
DOID:1245	vulva cancer	DOID:4879	Bartholin's gland adenoid cystic carcinoma	3
DOID:1245	vulva cancer	DOID:5286	vulvar leiomyosarcoma	2
DOID:1245	vulva cancer	DOID:5313	vulvar alveolar soft part sarcoma	2
DOID:1245	vulva cancer	DOID:5382	Bartholin's gland adenoma	3
DOID:1245	vulva cancer	DOID:5630	Bartholin's gland adenosquamous carcinoma	3
DOID:1245	vulva cancer	DOID:5711	vulvar liposarcoma	2
DOID:1245	vulva cancer	DOID:5761	vulvar sebaceous carcinoma	2
DOID:1245	vulva cancer	DOID:6316	Bartholin's gland adenocarcinoma	3
DOID:1245	vulva cancer	DOID:6339	vulvar eccrine adenocarcinoma	3
DOID:1245	vulva cancer	DOID:6448	vulvar apocrine adenocarcinoma	3
DOID:1245	vulva cancer	DOID:6518	Bartholin's gland adenomyoma	3
DOID:1245	vulva cancer	DOID:6569	micropapillomatosis labialis	3
DOID:1245	vulva cancer	DOID:6789	vulvar childhood botryoid-type embryonal rhabdomyosarcoma	2
DOID:1245	vulva cancer	DOID:6943	vulvar inverted follicular keratosis	3
DOID:1245	vulva cancer	DOID:6944	vulvar seborrheic keratosis	2
DOID:1245	vulva cancer	DOID:6961	Bartholin's gland squamous cell carcinoma	3
DOID:1245	vulva cancer	DOID:7048	vulvar basaloid squamous cell carcinoma	3
DOID:1245	vulva cancer	DOID:7140	Bartholin's gland small cell carcinoma	3
DOID:1245	vulva cancer	DOID:7363	vulvar keratinizing squamous cell carcinoma	3
DOID:1245	vulva cancer	DOID:7408	vulvar keratoacanthoma-like carcinoma	3
DOID:1245	vulva cancer	DOID:7409	vulvar non-keratinizing squamous cell carcinoma	3
DOID:1245	vulva cancer	DOID:7491	vulvar proximal-type epithelioid sarcoma	2
DOID:1245	vulva cancer	DOID:7565	vulvar eccrine porocarcinoma	2
DOID:1245	vulva cancer	DOID:7567	vulvar clear cell hidradenocarcinoma	2
DOID:12849	autistic disorder	DOID:12849	autistic disorder	0
DOID:12930	dilated cardiomyopathy	DOID:12930	dilated cardiomyopathy	0
DOID:12930	dilated cardiomyopathy	DOID:9997	peripartum cardiomyopathy	1
DOID:12995	conduct disorder	DOID:12995	conduct disorder	0
DOID:1312	focal segmental glomerulosclerosis	DOID:1312	focal segmental glomerulosclerosis	0
DOID:13189	gout	DOID:13189	gout	0
